week_start,week_end,distance_km,sessions,duration_min,low_intensity_pct,high_intensity_pct,variation_km,longest_run_km,weekly_load,sig_weekly_avg_km,sig_weekly_std_km,sig_trend_12w_pct,sig_z4_z5_avg_pct,sig_z4_z5_trend_12w_pct,sig_acwr_avg,sig_acwr_max,sig_load_std_trend_12w_pct
2024-01-22,2024-01-29,23.39782006983648,3,142.39635098377863,0.3224312255265344,0.6775687744734656,0.0,14.330867698736954,238.879672009351,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-01-29,2024-02-05,17.548585640701884,5,110.71851268609365,0.6657622409314717,0.3342377590685285,-5.849234429134597,10.032441106275323,147.72482025369405,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-02-05,2024-02-12,29.04424429042419,6,178.18543716867762,0.0,0.0,11.495658649722303,13.732183349858024,178.18543716867762,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-02-12,2024-02-19,30.46947099130889,4,180.6924899876118,0.8823526894160273,0.1176473105839727,1.4252267008847,10.299794397901248,201.95047547737576,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-02-19,2024-02-26,0.0,0,0.0,0.0,0.0,-30.46947099130889,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-02-26,2024-03-04,34.721522470577156,4,192.7320271770159,0.4557566146300664,0.5442433853699336,34.721522470577156,21.45260546875,297.62515811704515,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-03-04,2024-03-11,15.054711387761074,2,94.77872042854626,1.0,0.0,-19.66681108281608,10.009394981511074,94.77872042854626,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-03-11,2024-03-18,5.820913679527246,1,32.116957648595175,0.4879000780640124,0.5120999219359875,-9.233797708233828,5.820913679527246,48.56404915326218,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-03-18,2024-03-25,0.0,0,0.0,0.0,0.0,-5.820913679527246,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-03-25,2024-04-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-04-01,2024-04-08,11.00544429327353,2,66.50697042942046,0.4731515534982484,0.5268484465017516,11.00544429327353,6.511133411508273,101.54606448169856,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-04-08,2024-04-15,0.0,0,0.0,0.0,0.0,-11.00544429327353,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-04-15,2024-04-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-04-22,2024-04-29,10.121630236741131,2,57.18701623280843,0.5565045991768274,0.4434954008231726,10.121630236741131,5.084929197927215,82.54919491885909,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-04-29,2024-05-06,0.0,0,0.0,0.0,0.0,-10.121630236741131,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-05-06,2024-05-13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-05-13,2024-05-20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-05-20,2024-05-27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-05-27,2024-06-03,5.629783300329699,1,36.78083053429921,0.0,0.0,5.629783300329699,5.629783300329699,36.78083053429921,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
2024-06-03,2024-06-10,5.876319522651788,2,36.6672121822834,0.0,0.0,0.2465362223220895,4.369011019857135,36.6672121822834,27.738251539061828,7.981100916723039,2.6295742061767275,0.2808573413734767,50.05082371246481,0.8957345256829766,1.5760495004048425,17.651709011648762
